rank,Youtuber,subscribers,video views,video count,category,started
1,Tsuriki Show,25200000,33422359320,3207,Entertainment,2019
2,Kidibli (Kinder Spielzeug Kanal),23100000,11654098216,1049,Entertainment,2015
3,Kurzgesagt – In a Nutshell,21200000,2460150095,192,Education,2013
4,HaerteTest,19700000,3256176112,1408,Science & Technology,2011
5,Talking Angela,12900000,3711633223,240,Entertainment,2014
6,Ice Cream Rolls,12300000,1627977227,2099,Entertainment,2011
7,FAMILY BOOMS,11900000,12741044630,1318,Entertainment,2021
8,Pamela Reif,9730000,1801565124,244,Howto & Style,2013
9,freekickerz,8620000,2423912869,1596,Sports,2010
10,Ameer Bros,8430000,1631623676,289,Entertainment,2018
11,German Spidey,7720000,8541011512,1246,Comedy,2021
12,Rammstein Official,7670000,5247703406,151,Entertainment,2015
13,The Voice Kids,7610000,2370513443,1350,Entertainment,2013
14,Noel Robinson,7580000,4897229752,1477,Entertainment,2015
15,COLORS,6930000,2634880288,868,Music,2016
16,EugenBro,6630000,2350523300,1341,Gaming,2015
17,TikTokTunes,6360000,4051646882,948,Music,2019
18,TheFatRat,6330000,1896982406,102,Music,2011
19,Zedd,6180000,3334873522,163,Music,2010
20,BibisBeautyPalace,5830000,2877119517,943,Howto & Style,2012
21,Ali Omar,5650000,660269511,839,Entertainment,2018
22,Unique Vibes,5640000,3328075130,1069,Music,2016
23,CloudKid,5330000,2883647735,2591,Entertainment,2013
24,Paluten,5100000,4963650350,7596,Gaming,2012
25,DW Documental,5010000,1174326439,550,People & Blogs,2017
26,Gronkh,4950000,3787755764,15720,Gaming,2006
27,DW News,4770000,2087274459,31757,News & Politics,2007
28,nadinebreaty,4630000,3430739901,1238,,2014
29,Essen Rezepte,4570000,855546712,474,People & Blogs,2020
30,Free Documentary,4520000,1056400708,704,Entertainment,2013
31,ProsafiaGaming,4430000,4482120732,2011,Gaming,2010
32,KinoCheck.com,4410000,3523058278,5778,Entertainment,2014
33,Scorpions,4410000,3013488608,479,Entertainment,2008
34,ArkivaShqip,4400000,7190408321,8806,Entertainment,2009
35,growingannanas,4190000,1917583882,749,Sports,2017
36,Craftronix,4180000,1329942876,371,Film & Animation,2013
37,Bundesliga,4180000,1865265061,8879,Sports,2006
38,Simon Desue,4180000,833872596,704,Entertainment,2009
39,Calisthenicmovement,4170000,506414715,330,Sports,2012
40,Mohamad Gowani محمد جواني,4120000,161546867,174,Entertainment,2016
41,FilmSelect Trailer,4060000,1987549454,1622,Entertainment,2016
42,Dagi Bee,3930000,1067313363,652,Howto & Style,2012
43,Fox Family - Official Channel,3920000,1090857511,835,Entertainment,2014
44,TheKAIRI78,3920000,1438912600,4494,Gaming,2011
45,DW Español,3800000,2020942182,38095,News & Politics,2012
46,GermanLetsPlay,3720000,2606054820,6902,Gaming,2010
47,Freshtorge,3720000,1632280440,913,Comedy,2009
48,ungespielt,3720000,2148077597,4861,Gaming,2012
49,FC Bayern München,3660000,1505732369,5521,Sports,2006
50,Robin Schulz,3660000,3966921254,373,Music,2011
51,Ikram Bellanova,3650000,480277627,400,Howto & Style,2011
52,ApeCrime,3580000,1151782749,700,Entertainment,2011
53,Mascha und der Bär,3560000,1472453881,1098,Shows,2016
54,Family Bros,3540000,794438300,33,Entertainment,2019
55,BBlocks,3490000,1033717463,143,Gaming,2019
56,EUROPA Kinderprogramm,3470000,1393048149,355,Film & Animation,2010
57,50K TIT TIT,3460000,67705008,12,Entertainment,2010
58,Keluarga Bahagia Di Jerman,3380000,623669385,823,People & Blogs,2013
59,rewinside,3360000,2051053767,4896,Gaming,2013
60,iCrimax,3350000,1819660824,3130,Gaming,2013
61,Standart Skill,3340000,1949070825,3378,Gaming,2013
62,MERO,3330000,1357323990,37,People & Blogs,2018
63,Hausgemachte Rezepte,3320000,574758314,455,People & Blogs,2020
64,AirwaveMusicTV,3280000,1261506362,3799,Music,2011
65,Felix von der Laden,3210000,1450728301,3968,Gaming,2011
66,ClayClaim,3150000,469102503,495,Entertainment,2015
67,FunChannel,3080000,2389315645,920,Sports,2016
68,marsgizmo,3070000,3947876567,498,Entertainment,2018
69,Nuclear Blast Records,3070000,3035754363,6604,Music,2006
70,MurkXtreme Shorts,3070000,2262584624,234,Entertainment,2020
71,JoergSprave,3020000,543533484,1117,Science & Technology,2008
72,BUSHIDO,2980000,1611614434,241,Entertainment,2005
73,BangerChannel,2980000,2066402478,838,Entertainment,2010
74,MontanaBlack,2960000,334079577,375,People & Blogs,2009
75,Elif Karaman,2930000,615169308,306,Entertainment,2014
76,JONAS,2880000,863994633,1157,Entertainment,2011
77,Mayapolarbear,2860000,507205232,208,Pets & Animals,2018
78,Shirin David,2840000,513889500,156,Entertainment,2014
79,LeFloid,2790000,743016466,1265,Entertainment,2007
80,unsympathischTV,2780000,670591774,589,Entertainment,2014
81,SpontanaBlack,2760000,915080951,1356,Gaming,2013
82,asmr zeitgeist,2760000,619182807,279,Entertainment,2015
83,Like Nastya DE,2760000,909564654,532,Entertainment,2019
84,Fritz Meinecke,2750000,317175633,673,People & Blogs,2014
85,inscope21,2730000,624532172,1356,Entertainment,2010
86,RC RC RC!!!,2660000,1124399199,1841,People & Blogs,2016
87,CrhymeTV,2650000,1877411943,162,Entertainment,2008
88,HandOfBlood,2650000,1046460931,2214,Gaming,2010
89,DieLochis,2640000,1061543315,651,Entertainment,2011
90,Arazhul,2640000,3185709300,3581,Gaming,2012
91,AviveHD,2590000,1038778776,2978,Gaming,2012
92,urbanamadei,2580000,851028300,645,Sports,2006
93,xKito Music,2570000,2335550474,1994,Music,2006
94,URBAN DANCE CAMP,2560000,524316589,223,Education,2010
95,Dhruv Rathee Shorts,2490000,1098176189,235,People & Blogs,2022
96,SRS-RC,2490000,924009019,1196,Autos & Vehicles,2015
97,iBlali,2490000,672606889,468,Entertainment,2011
98,Julia Beautx,2480000,557086428,474,Howto & Style,2013
99,PietSmiet,2470000,3449154078,26975,Entertainment,2007
100,3D VR 360 VIDEOS,2470000,814843486,300,Gaming,2015
101,Kelvin und Marvin,2460000,1300203219,1197,Entertainment,2016
102,JP Performance GmbH,2430000,1463183390,2125,Autos & Vehicles,2012
103,MySpass Stand-up,2420000,1007262634,3433,Entertainment,2009
104,Leon Machère,2400000,665137516,298,Entertainment,2011
105,Frische Rezepte,2390000,432505325,551,People & Blogs,2021
106,يوسف الصدّيق / Prophet Joseph,2340000,0,0,Film & Animation,2018
107,Gesund und schnell,2320000,519643854,746,People & Blogs,2021
108,ViralBe,2320000,308508639,1286,Pets & Animals,2011
109,FiRiWiTTi,2320000,132606319,543,Gaming,2014
110,Made My Day,2320000,1215337984,1686,Entertainment,2013
111,Khalid Alnaimi خالد النعيمي,2310000,413133704,464,Comedy,2016
112,DieAussenseiter,2310000,526069842,286,Entertainment,2008
113,Rapid Liquid,2280000,1014890851,444,Pets & Animals,2016
114,Rebekah Wing,2280000,1246218250,1220,Entertainment,2014
115,Trymacs,2260000,1253444952,3669,Gaming,2016
116,ApeCrimeTV,2230000,785007650,1225,Entertainment,2011
117,Yalla Gang,2230000,750660,2,Entertainment,2011
118,Lecker schnell,2200000,735095889,879,Education,2020
119,Emrah,2190000,0,0,Education,2011
120,Markey,2130000,605377348,1574,Entertainment,2012
121,Jeremy Fragrance,2130000,288542011,456,People & Blogs,2014
122,Dinge Erklärt – Kurzgesagt,2130000,255536972,133,Education,2014
123,Aysha Siddika,2130000,388112160,707,Howto & Style,2015
124,LatinNow,2130000,2070514501,1029,Music,2019
125,Animenz Piano Sheets,2130000,510345763,222,Entertainment,2010
126,wie man kocht,2130000,394770722,699,People & Blogs,2020
127,Dhruv Rathee Vlogs,2110000,337489300,203,People & Blogs,2020
128,Schnelle Rezepte,2100000,364202515,1082,Howto & Style,2020
129,Trimix,2090000,344372122,455,Gaming,2016
130,عائلة شادو SE Family,2090000,68375021,90,Entertainment,2012
131,Little Baby Bum Deutsch,2080000,838212829,1197,Education,2014
132,Sallys Welt,2070000,671592133,1857,Howto & Style,2011
133,Gewitter im Kopf - Leben mit Tourette,2070000,336279645,437,People & Blogs,2015
134,DW Documentary وثائقية دي دبليو,2070000,320091049,853,Education,2018
135,Joey's Jungle,2060000,889054863,483,Entertainment,2008
136,MrWissen2go,2050000,356210821,795,Education,2012
137,mr bundesteam,2050000,627267167,182,Sports,2014
138,viele Rezepte,2040000,375970187,228,People & Blogs,2020
139,CrispyRob,2030000,362249068,314,Entertainment,2015
140,Benx,2020000,2651302374,4925,Gaming,2014
141,H2O - just add water,2010000,868370352,789,Film & Animation,2013
142,Die Crew,2010000,939500738,1098,Gaming,2016
143,makoccino,2000000,170854571,415,Howto & Style,2011
144,Dima,1990000,309785121,533,People & Blogs,2005
145,DW на русском,1970000,1124062897,15606,News & Politics,2010
146,KELLY //missesvlog,1960000,424400820,744,People & Blogs,2010
147,AGGRO.TV,1960000,1611831710,3351,Entertainment,2006
148,Liebscher & Bracht | Die Schmerzspezialisten,1950000,342924950,1335,Sports,2015
149,MASMAVİ3🔹MUTFAKTA,1920000,453976368,570,Howto & Style,2015
150,Sturmwaffel,1910000,668978659,4772,Gaming,2013
151,Her 86m2,1910000,115468722,141,,2020
152,MNcompsJR,1890000,142513167,101,Sports,2015
153,Sarazar,1890000,616626801,4393,Gaming,2010
154,moviemaniacsDE,1880000,2211016903,10012,Entertainment,2008
155,Jay & Arya,1880000,575894149,548,People & Blogs,2011
156,GreatScott!,1870000,279015139,438,Science & Technology,2013
157,LukasBS,1850000,823976534,1875,Gaming,2018
158,Oggy und die Kakerlaken,1850000,863186798,1639,Entertainment,2019
159,Patrik Pietschmann,1850000,546488282,105,Music,2013
160,DestructionNation,1840000,677204454,837,Gaming,2012
161,Feuerwehrmann Sam,1820000,1173873169,1561,Film & Animation,2016
162,Digster Pop Music,1820000,1095281389,834,Entertainment,2014
163,Milky Chance Official,1820000,1738978479,346,Entertainment,2012
164,Melina Sophie,1810000,1016055,1,Entertainment,2013
165,Easy German,1800000,180836416,1009,Education,2015
166,Livani's Studio,1800000,602618038,112,Film & Animation,2013
167,Peppa Pig Deutsch - Offizieller Kanal,1800000,1903216944,1291,Film & Animation,2015
168,ViscaBarca,1790000,417896427,1019,Entertainment,2011
169,Hurra Kinderlieder,1780000,1545929221,137,Entertainment,2014
170,Reggaeville,1770000,686399169,8815,Entertainment,2008
171,Rodina 🇩🇪🇮🇶,1760000,320804344,629,Howto & Style,2016
172,xLaeta,1760000,346208658,928,People & Blogs,2013
173,rezo,1750000,192499769,48,Entertainment,2015
174,Leckere Minute,1750000,315080060,466,People & Blogs,2020
175,Filmbilder & Friends,1750000,596208794,208,Film & Animation,2007
176,Mexify,1730000,323389121,390,Gaming,2012
177,Disney Channel Deutschland,1730000,1356219091,5739,Entertainment,2009
178,HooplaKidz Deutsch - Kinderlieder auf Deutsch,1720000,9285252,549,Education,2014
179,Lehrerschmidt,1720000,246092343,1826,Education,2012
180,Paola Maria,1720000,161350156,196,People & Blogs,2013
181,Modern Talking TR,1720000,15422959,19,Music,2011
182,DER SPIEGEL,1710000,1723986027,10285,People & Blogs,2006
183,HeyMoritz,1710000,681397087,1335,Entertainment,2012
184,DVB TV News,1710000,826205374,89302,News & Politics,2010
185,LIONTTV,1700000,318151530,819,Comedy,2011
186,SlivkiShow DE,1700000,412080620,404,Entertainment,2015
187,ProgrammingKnowledge,1690000,274671149,3486,Education,2012
188,WELT Nachrichtensender,1690000,2915367403,59202,Pets & Animals,2011
189,Jindaouis,1690000,390825428,190,People & Blogs,2019
190,TheOftler,1670000,328570007,987,People & Blogs,2011
191,The Real Life Guys,1660000,277921507,189,People & Blogs,2016
192,WB Kids Deutschland,1650000,763923475,702,Film & Animation,2019
193,The Great War,1650000,307993346,773,Education,2014
194,Captain Joe,1650000,214915459,364,Science & Technology,2014
195,Rezo ja lol ey,1650000,401653044,176,People & Blogs,2018
196,GKAY,1640000,73547743,330,People & Blogs,2013
197,Nickelodeon Deutschland,1620000,1302122327,2277,Entertainment,2012
198,TopZehn,1620000,493488578,645,Education,2012
199,LukeMockridgeTV,1610000,927771843,1496,Entertainment,2014
200,RC LIVE ACTION,1610000,888969756,3255,Entertainment,2007
201,TEAM KUKU,1600000,750310734,76,Music,2016
202,Varion,1590000,450299210,582,Comedy,2014
203,Sky Sport DE,1590000,699654356,6415,Sports,2009
204,Sensual Musique,1590000,529533941,1910,Music,2014
205,5 Minuten Tricks SPIEL,1580000,880786998,4928,People & Blogs,2018
206,Paul van Dyk,1580000,577460026,960,Entertainment,2006
207,5-MINUTEN-TRICKS,1560000,457846638,5383,Howto & Style,2017
208,BastiGHG,1560000,680513602,1449,Gaming,2014
209,BILD,1560000,2736256124,28599,News & Politics,2014
210,Clever Zone,1550000,830536928,902,,2022
211,Farina Jo,1550000,346298653,317,Entertainment,2016
212,ESL Counter-Strike,1530000,415269859,2823,Gaming,2016
213,En Pocas Palabras – Kurzgesagt,1530000,108113363,73,Education,2019
214,WiederDude Tutorials,1530000,189455600,144,Gaming,2010
215,Sami Slimani,1520000,83610259,183,Howto & Style,2009
216,SONNENSEITE,1510000,620388301,6560,People & Blogs,2017
217,Domtendo,1510000,2419929740,10931,Gaming,2007
218,Vành Khuyên Lê,1500000,504086293,998,Howto & Style,2016
219,LPmitKev,1500000,0,0,Gaming,2011
220,Little Angel Deutsch - Kinderlieder,1500000,1074662768,579,Entertainment,2019
221,coldmirror,1500000,458477573,474,Comedy,2006
222,GameStar,1490000,1325083414,9197,Gaming,2009
223,Fox Family Star,1490000,441794055,659,People & Blogs,2016
224,26Solmates magic,1490000,229469483,123,Science & Technology,2016
225,Danny Jesden,1490000,1026558041,4454,Gaming,2013
226,WildLens by Abrar,1480000,269514363,417,Travel & Events,2008
227,Kids Tv Deutschland - Deutsch Kinderlieder,1480000,836931469,1566,People & Blogs,2014
228,RedSama,1480000,490743,1,Gaming,2014
229,Grjngo - Western Movies,1470000,720880972,619,Film & Animation,2017
230,leckere Küche,1470000,295982368,429,People & Blogs,2020
231,El Margo,1470000,460745839,1798,Entertainment,2012
232,RayFox,1470000,438775128,598,Entertainment,2016
233,GRIP - Das Motormagazin,1470000,885186772,932,Autos & Vehicles,2013
234,HD1080ide,1460000,894943355,429,,2010
235,Hacks von Panda,1460000,381148918,523,Howto & Style,2018
236,Mario G. Klau,1460000,458636140,397,Music,2016
237,Netzkino,1440000,355906348,3541,Film & Animation,2010
238,maiLab,1440000,132737966,188,People & Blogs,2016
239,Bonnytrash,1440000,381333957,907,People & Blogs,2015
240,Kontra K,1440000,992359952,148,Entertainment,2014
241,Samra,1430000,1005622098,98,Music,2019
242,Tokio Hotel,1420000,525407363,412,Music,2007
243,Gnu,1420000,428828938,1613,Gaming,2015
244,World Wide Wohnzimmer,1410000,577430874,1891,Entertainment,2010
245,Klinik am Südring,1410000,1229559599,4287,Entertainment,2017
246,ZDF heute-show,1410000,761639920,1330,Comedy,2016
247,Leckerer Kanal,1400000,248647899,363,People & Blogs,2021
248,JuliensBlogBattle,1400000,848510636,912,Entertainment,2012
249,Uyen Ninh,1390000,1870694081,395,,2021
250,tagesschau,1390000,1139182144,21717,News & Politics,2006
251,ASMR Miss Mi,1390000,592351841,1101,Entertainment,2019
252,Nico Rosberg,1390000,148984732,669,Autos & Vehicles,2011
253,Mert Abi,1390000,327766768,233,Entertainment,2011
254,Katja Krasavice,1390000,3745,1,Entertainment,2014
255,Immer Appetitlich,1390000,225736092,628,People & Blogs,2021
256,Promiflash,1380000,91021129,3138,Entertainment,2010
257,SparkofPhoenix,1380000,653491079,8375,Gaming,2010
258,Younes Jones,1380000,481008140,311,Comedy,2017
259,Alphastein,1380000,856841613,2129,Gaming,2016
260,LiDiRo,1380000,408673800,346,Film & Animation,2015
261,Brownies,1370000,318764539,546,Entertainment,2014
262,flyinguwe,1370000,389066678,1437,Sports,2007
263,LauraJoelle,1370000,304502195,543,Howto & Style,2011
264,Niki Nihachu,1360000,35022273,52,Gaming,2020
265,schnelle Küche,1350000,331768593,835,People & Blogs,2020
266,Hey Aaron!!!,1350000,412790818,584,Entertainment,2013
267,Familie Hauser,1340000,1987299902,909,Film & Animation,2015
268,Learn German,1340000,93777784,761,,2016
269,LeKoopa,1340000,851502999,1598,Gaming,2012
270,vipmagazin,1340000,1499930448,9640,Film & Animation,2007
271,Song des Tages,1330000,1229956603,2179,Entertainment,2010
272,ALPHA MUSIC EMPIRE,1310000,314169871,204,Entertainment,2013
273,TalkToHand,1310000,232742854,526,Gaming,2015
274,Wasim Oughli,1300000,96432149,86,People & Blogs,2018
275,SPACE FROGS,1300000,835417635,1246,People & Blogs,2011
276,#Mentale Zuflucht,1300000,850597108,1331,Entertainment,2016
277,Simplicissimus,1300000,276870671,359,People & Blogs,2015
278,Gita Savitri Devi,1290000,119481241,512,People & Blogs,2009
279,Su Vlogs,1290000,634506,59,People & Blogs,2011
280,proownez,1280000,259596610,1229,Gaming,2012
281,Selfmade Records,1270000,806444789,396,Entertainment,2006
282,ELoTRiX,1270000,93057941,97,Gaming,2012
283,Johnny Hand,1270000,504231124,1742,Entertainment,2016
284,Schneller Koch,1260000,375045734,587,,2020
285,maudado,1260000,449221492,3181,Gaming,2012
286,Auf Streife,1250000,1264800231,5297,Entertainment,2017
287,querly,1250000,165216975,371,Autos & Vehicles,2007
288,Echtso,1250000,874984196,1602,Entertainment,2013
289,MAX,1250000,279397653,875,Entertainment,2013
290,FUNK 4.0,1250000,239207516,2434,People & Blogs,2017
291,M7moud Royal,1240000,54161850,71,Gaming,2016
292,WannaBe,1240000,487843046,801,Gaming,2018
293,Muhammed Kue - محمد كيو,1240000,100576884,293,Comedy,2016
294,izzi,1240000,270300075,1380,Gaming,2013
295,Coco der Neugierige Affe,1240000,557078313,999,Film & Animation,2018
296,C4D4U,1240000,1691497803,343,Film & Animation,2014
297,Finnel,1240000,812276014,445,People & Blogs,2016
298,Skech Art,1230000,92240599,489,Howto & Style,2007
299,Team Paluten,1230000,551133505,1769,Gaming,2014
300,Alles Ava,1230000,903611042,1357,Entertainment,2015
301,JUcktmichnicht,1220000,440641908,699,People & Blogs,2020
302,Team Harrison,1220000,356069658,473,Entertainment,2015
303,TopWelt,1220000,554815644,1881,Entertainment,2015
304,ChiChi Family,1220000,230165562,275,Entertainment,2014
305,LarsOderSo,1200000,632402396,3008,Gaming,2013
306,edafoxx ASMR,1200000,392166958,864,Entertainment,2019
307,Bigtime - Free Movies,1200000,175712135,628,Film & Animation,2016
308,WildBrain Deutsch,1200000,407420895,2948,Film & Animation,2017
309,TUBERIDES,1200000,1103219278,4359,Entertainment,2009
310,LOGO,1200000,592810979,1042,Gaming,2012
311,Mercedes-AMG Petronas Formula One Team,1190000,324904586,1767,Sports,2011
312,IDzock,1180000,590952162,2252,Gaming,2013
313,Zig und Sharko,1180000,453351048,642,Entertainment,2019
314,InscopeLifestyle,1180000,245448838,834,People & Blogs,2014
315,Finanzfluss,1180000,154455103,702,Education,2015
316,Moonbug Kids - Deutsch,1180000,292961006,1255,Entertainment,2017
317,Kenhub - Learn Human Anatomy,1170000,127135107,742,Education,2011
318,FeelFIFA,1170000,442920341,2881,Gaming,2011
319,Lomby Shorts,1170000,420013140,302,,2021
320,EpicStun,1170000,1199992045,2654,Gaming,2013
321,Joyce,1170000,241047980,449,Entertainment,2013
322,STRG_F,1170000,308323633,292,Film & Animation,2017
323,HandOfUncut,1170000,469899239,1554,Gaming,2015
324,Ischtar Isik,1170000,247525106,829,Howto & Style,2010
325,tomatolix,1170000,174213154,193,Entertainment,2010
326,Mr Hanan,1170000,60171266,130,,2014
